Audio path,Prompt path
dataset\audio\FC02Session3wav_headMic0236.wav,dataset\prompts\FC02Session3prompts0236.txt
dataset\audio\FC02Session3wav_headMic0237.wav,dataset\prompts\FC02Session3prompts0237.txt
dataset\audio\FC02Session3wav_headMic0238.wav,dataset\prompts\FC02Session3prompts0238.txt
dataset\audio\FC02Session3wav_headMic0239.wav,dataset\prompts\FC02Session3prompts0239.txt
dataset\audio\FC02Session3wav_headMic0240.wav,dataset\prompts\FC02Session3prompts0240.txt
dataset\audio\FC02Session3wav_headMic0241.wav,dataset\prompts\FC02Session3prompts0241.txt
dataset\audio\FC02Session3wav_headMic0242.wav,dataset\prompts\FC02Session3prompts0242.txt
dataset\audio\FC02Session3wav_headMic0243.wav,dataset\prompts\FC02Session3prompts0243.txt
dataset\audio\FC02Session3wav_headMic0244.wav,dataset\prompts\FC02Session3prompts0244.txt
dataset\audio\FC02Session3wav_headMic0245.wav,dataset\prompts\FC02Session3prompts0245.txt
dataset\audio\FC02Session3wav_headMic0246.wav,dataset\prompts\FC02Session3prompts0246.txt
dataset\audio\FC02Session3wav_headMic0247.wav,dataset\prompts\FC02Session3prompts0247.txt
dataset\audio\FC02Session3wav_headMic0248.wav,dataset\prompts\FC02Session3prompts0248.txt
dataset\audio\FC02Session3wav_headMic0249.wav,dataset\prompts\FC02Session3prompts0249.txt
dataset\audio\FC02Session3wav_headMic0250.wav,dataset\prompts\FC02Session3prompts0250.txt
dataset\audio\FC02Session3wav_headMic0251.wav,dataset\prompts\FC02Session3prompts0251.txt
dataset\audio\FC02Session3wav_headMic0252.wav,dataset\prompts\FC02Session3prompts0252.txt
dataset\audio\FC02Session3wav_headMic0253.wav,dataset\prompts\FC02Session3prompts0253.txt
dataset\audio\FC02Session3wav_headMic0254.wav,dataset\prompts\FC02Session3prompts0254.txt
dataset\audio\FC02Session3wav_headMic0255.wav,dataset\prompts\FC02Session3prompts0255.txt
dataset\audio\FC02Session3wav_headMic0256.wav,dataset\prompts\FC02Session3prompts0256.txt
dataset\audio\FC02Session3wav_headMic0257.wav,dataset\prompts\FC02Session3prompts0257.txt
dataset\audio\FC02Session3wav_headMic0258.wav,dataset\prompts\FC02Session3prompts0258.txt
dataset\audio\FC02Session3wav_headMic0259.wav,dataset\prompts\FC02Session3prompts0259.txt
dataset\audio\FC02Session3wav_headMic0260.wav,dataset\prompts\FC02Session3prompts0260.txt
dataset\audio\FC02Session3wav_headMic0261.wav,dataset\prompts\FC02Session3prompts0261.txt
dataset\audio\FC02Session3wav_headMic0262.wav,dataset\prompts\FC02Session3prompts0262.txt
dataset\audio\FC02Session3wav_headMic0263.wav,dataset\prompts\FC02Session3prompts0263.txt
dataset\audio\FC02Session3wav_headMic0264.wav,dataset\prompts\FC02Session3prompts0264.txt
dataset\audio\FC02Session3wav_headMic0265.wav,dataset\prompts\FC02Session3prompts0265.txt
dataset\audio\FC02Session3wav_headMic0266.wav,dataset\prompts\FC02Session3prompts0266.txt
dataset\audio\FC02Session3wav_headMic0267.wav,dataset\prompts\FC02Session3prompts0267.txt
dataset\audio\FC02Session3wav_headMic0268.wav,dataset\prompts\FC02Session3prompts0268.txt
dataset\audio\FC02Session3wav_headMic0269.wav,dataset\prompts\FC02Session3prompts0269.txt
dataset\audio\FC02Session3wav_headMic0270.wav,dataset\prompts\FC02Session3prompts0270.txt
dataset\audio\FC02Session3wav_headMic0271.wav,dataset\prompts\FC02Session3prompts0271.txt
dataset\audio\FC02Session3wav_headMic0272.wav,dataset\prompts\FC02Session3prompts0272.txt
dataset\audio\FC02Session3wav_headMic0273.wav,dataset\prompts\FC02Session3prompts0273.txt
dataset\audio\FC02Session3wav_headMic0274.wav,dataset\prompts\FC02Session3prompts0274.txt
dataset\audio\FC02Session3wav_headMic0275.wav,dataset\prompts\FC02Session3prompts0275.txt
dataset\audio\FC02Session3wav_headMic0276.wav,dataset\prompts\FC02Session3prompts0276.txt
dataset\audio\FC02Session3wav_headMic0277.wav,dataset\prompts\FC02Session3prompts0277.txt
dataset\audio\FC02Session3wav_headMic0278.wav,dataset\prompts\FC02Session3prompts0278.txt
dataset\audio\FC02Session3wav_headMic0279.wav,dataset\prompts\FC02Session3prompts0279.txt
dataset\audio\FC02Session3wav_headMic0280.wav,dataset\prompts\FC02Session3prompts0280.txt
dataset\audio\FC02Session3wav_headMic0281.wav,dataset\prompts\FC02Session3prompts0281.txt
dataset\audio\FC02Session3wav_headMic0282.wav,dataset\prompts\FC02Session3prompts0282.txt
dataset\audio\FC02Session3wav_headMic0283.wav,dataset\prompts\FC02Session3prompts0283.txt
dataset\audio\FC02Session3wav_headMic0284.wav,dataset\prompts\FC02Session3prompts0284.txt
dataset\audio\FC02Session3wav_headMic0285.wav,dataset\prompts\FC02Session3prompts0285.txt
dataset\audio\FC02Session3wav_headMic0286.wav,dataset\prompts\FC02Session3prompts0286.txt
dataset\audio\FC02Session3wav_headMic0287.wav,dataset\prompts\FC02Session3prompts0287.txt
dataset\audio\FC02Session3wav_headMic0288.wav,dataset\prompts\FC02Session3prompts0288.txt
dataset\audio\FC02Session3wav_headMic0289.wav,dataset\prompts\FC02Session3prompts0289.txt
dataset\audio\FC02Session3wav_headMic0290.wav,dataset\prompts\FC02Session3prompts0290.txt
dataset\audio\FC02Session3wav_headMic0291.wav,dataset\prompts\FC02Session3prompts0291.txt
dataset\audio\FC02Session3wav_headMic0292.wav,dataset\prompts\FC02Session3prompts0292.txt
dataset\audio\FC02Session3wav_headMic0293.wav,dataset\prompts\FC02Session3prompts0293.txt
dataset\audio\FC02Session3wav_headMic0294.wav,dataset\prompts\FC02Session3prompts0294.txt
dataset\audio\FC02Session3wav_headMic0295.wav,dataset\prompts\FC02Session3prompts0295.txt
dataset\audio\FC02Session3wav_headMic0296.wav,dataset\prompts\FC02Session3prompts0296.txt
dataset\audio\FC02Session3wav_headMic0297.wav,dataset\prompts\FC02Session3prompts0297.txt
dataset\audio\FC02Session3wav_headMic0298.wav,dataset\prompts\FC02Session3prompts0298.txt
dataset\audio\FC02Session3wav_headMic0299.wav,dataset\prompts\FC02Session3prompts0299.txt
dataset\audio\FC02Session3wav_headMic0300.wav,dataset\prompts\FC02Session3prompts0300.txt
dataset\audio\FC02Session3wav_headMic0301.wav,dataset\prompts\FC02Session3prompts0301.txt
dataset\audio\FC02Session3wav_headMic0302.wav,dataset\prompts\FC02Session3prompts0302.txt
dataset\audio\FC02Session3wav_headMic0303.wav,dataset\prompts\FC02Session3prompts0303.txt
dataset\audio\FC02Session3wav_headMic0304.wav,dataset\prompts\FC02Session3prompts0304.txt
dataset\audio\FC02Session3wav_headMic0305.wav,dataset\prompts\FC02Session3prompts0305.txt
dataset\audio\FC02Session3wav_headMic0306.wav,dataset\prompts\FC02Session3prompts0306.txt
dataset\audio\FC02Session3wav_headMic0307.wav,dataset\prompts\FC02Session3prompts0307.txt
dataset\audio\FC02Session3wav_headMic0308.wav,dataset\prompts\FC02Session3prompts0308.txt
dataset\audio\FC02Session3wav_headMic0309.wav,dataset\prompts\FC02Session3prompts0309.txt
dataset\audio\FC02Session3wav_headMic0310.wav,dataset\prompts\FC02Session3prompts0310.txt
dataset\audio\FC02Session3wav_headMic0311.wav,dataset\prompts\FC02Session3prompts0311.txt
dataset\audio\FC02Session3wav_headMic0312.wav,dataset\prompts\FC02Session3prompts0312.txt
dataset\audio\FC02Session3wav_headMic0313.wav,dataset\prompts\FC02Session3prompts0313.txt
dataset\audio\FC02Session3wav_headMic0314.wav,dataset\prompts\FC02Session3prompts0314.txt
dataset\audio\FC02Session3wav_headMic0315.wav,dataset\prompts\FC02Session3prompts0315.txt
dataset\audio\FC02Session3wav_headMic0316.wav,dataset\prompts\FC02Session3prompts0316.txt
dataset\audio\FC02Session3wav_headMic0317.wav,dataset\prompts\FC02Session3prompts0317.txt
dataset\audio\FC02Session3wav_headMic0318.wav,dataset\prompts\FC02Session3prompts0318.txt
dataset\audio\FC02Session3wav_headMic0319.wav,dataset\prompts\FC02Session3prompts0319.txt
dataset\audio\FC02Session3wav_headMic0320.wav,dataset\prompts\FC02Session3prompts0320.txt
dataset\audio\FC02Session3wav_headMic0321.wav,dataset\prompts\FC02Session3prompts0321.txt
dataset\audio\FC02Session3wav_headMic0322.wav,dataset\prompts\FC02Session3prompts0322.txt
dataset\audio\FC02Session3wav_headMic0323.wav,dataset\prompts\FC02Session3prompts0323.txt
dataset\audio\FC02Session3wav_headMic0324.wav,dataset\prompts\FC02Session3prompts0324.txt
dataset\audio\FC02Session3wav_headMic0325.wav,dataset\prompts\FC02Session3prompts0325.txt
dataset\audio\FC02Session3wav_headMic0326.wav,dataset\prompts\FC02Session3prompts0326.txt
dataset\audio\FC02Session3wav_headMic0327.wav,dataset\prompts\FC02Session3prompts0327.txt
dataset\audio\FC02Session3wav_headMic0328.wav,dataset\prompts\FC02Session3prompts0328.txt
dataset\audio\FC02Session3wav_headMic0329.wav,dataset\prompts\FC02Session3prompts0329.txt
dataset\audio\FC02Session3wav_headMic0330.wav,dataset\prompts\FC02Session3prompts0330.txt
dataset\audio\FC02Session3wav_headMic0331.wav,dataset\prompts\FC02Session3prompts0331.txt
dataset\audio\FC02Session3wav_headMic0332.wav,dataset\prompts\FC02Session3prompts0332.txt
dataset\audio\FC02Session3wav_headMic0333.wav,dataset\prompts\FC02Session3prompts0333.txt
dataset\audio\FC02Session3wav_headMic0334.wav,dataset\prompts\FC02Session3prompts0334.txt
dataset\audio\FC02Session3wav_headMic0335.wav,dataset\prompts\FC02Session3prompts0335.txt
dataset\audio\FC02Session3wav_headMic0336.wav,dataset\prompts\FC02Session3prompts0336.txt
dataset\audio\FC02Session3wav_headMic0337.wav,dataset\prompts\FC02Session3prompts0337.txt
dataset\audio\FC02Session3wav_headMic0338.wav,dataset\prompts\FC02Session3prompts0338.txt
dataset\audio\FC02Session3wav_headMic0339.wav,dataset\prompts\FC02Session3prompts0339.txt
dataset\audio\FC02Session3wav_headMic0340.wav,dataset\prompts\FC02Session3prompts0340.txt
dataset\audio\FC02Session3wav_headMic0341.wav,dataset\prompts\FC02Session3prompts0341.txt
dataset\audio\FC02Session3wav_headMic0342.wav,dataset\prompts\FC02Session3prompts0342.txt
dataset\audio\FC02Session3wav_headMic0343.wav,dataset\prompts\FC02Session3prompts0343.txt
dataset\audio\FC02Session3wav_headMic0344.wav,dataset\prompts\FC02Session3prompts0344.txt
dataset\audio\FC02Session3wav_headMic0345.wav,dataset\prompts\FC02Session3prompts0345.txt
dataset\audio\FC02Session3wav_headMic0346.wav,dataset\prompts\FC02Session3prompts0346.txt
dataset\audio\FC02Session3wav_headMic0347.wav,dataset\prompts\FC02Session3prompts0347.txt
dataset\audio\FC02Session3wav_headMic0348.wav,dataset\prompts\FC02Session3prompts0348.txt
dataset\audio\FC02Session3wav_headMic0349.wav,dataset\prompts\FC02Session3prompts0349.txt
dataset\audio\FC02Session3wav_headMic0350.wav,dataset\prompts\FC02Session3prompts0350.txt
dataset\audio\FC02Session3wav_headMic0351.wav,dataset\prompts\FC02Session3prompts0351.txt
dataset\audio\FC02Session3wav_headMic0352.wav,dataset\prompts\FC02Session3prompts0352.txt
dataset\audio\FC02Session3wav_headMic0353.wav,dataset\prompts\FC02Session3prompts0353.txt
dataset\audio\FC02Session3wav_headMic0354.wav,dataset\prompts\FC02Session3prompts0354.txt
dataset\audio\FC02Session3wav_headMic0355.wav,dataset\prompts\FC02Session3prompts0355.txt
dataset\audio\FC02Session3wav_headMic0356.wav,dataset\prompts\FC02Session3prompts0356.txt
dataset\audio\FC02Session3wav_headMic0357.wav,dataset\prompts\FC02Session3prompts0357.txt
dataset\audio\FC02Session3wav_headMic0358.wav,dataset\prompts\FC02Session3prompts0358.txt
dataset\audio\FC02Session3wav_headMic0359.wav,dataset\prompts\FC02Session3prompts0359.txt
dataset\audio\FC02Session3wav_headMic0360.wav,dataset\prompts\FC02Session3prompts0360.txt
dataset\audio\FC02Session3wav_headMic0361.wav,dataset\prompts\FC02Session3prompts0361.txt
dataset\audio\FC02Session3wav_headMic0362.wav,dataset\prompts\FC02Session3prompts0362.txt
dataset\audio\FC02Session3wav_headMic0363.wav,dataset\prompts\FC02Session3prompts0363.txt
dataset\audio\FC02Session3wav_headMic0364.wav,dataset\prompts\FC02Session3prompts0364.txt
dataset\audio\FC02Session3wav_headMic0365.wav,dataset\prompts\FC02Session3prompts0365.txt
dataset\audio\FC02Session3wav_headMic0366.wav,dataset\prompts\FC02Session3prompts0366.txt
dataset\audio\FC02Session3wav_headMic0367.wav,dataset\prompts\FC02Session3prompts0367.txt
dataset\audio\FC02Session3wav_headMic0368.wav,dataset\prompts\FC02Session3prompts0368.txt
dataset\audio\FC02Session3wav_headMic0369.wav,dataset\prompts\FC02Session3prompts0369.txt
dataset\audio\FC02Session3wav_headMic0370.wav,dataset\prompts\FC02Session3prompts0370.txt
dataset\audio\FC02Session3wav_headMic0371.wav,dataset\prompts\FC02Session3prompts0371.txt
dataset\audio\FC02Session3wav_headMic0372.wav,dataset\prompts\FC02Session3prompts0372.txt
dataset\audio\FC02Session3wav_headMic0373.wav,dataset\prompts\FC02Session3prompts0373.txt
dataset\audio\FC02Session3wav_headMic0374.wav,dataset\prompts\FC02Session3prompts0374.txt
dataset\audio\FC02Session3wav_headMic0375.wav,dataset\prompts\FC02Session3prompts0375.txt
dataset\audio\FC02Session3wav_headMic0376.wav,dataset\prompts\FC02Session3prompts0376.txt
dataset\audio\FC02Session3wav_headMic0377.wav,dataset\prompts\FC02Session3prompts0377.txt
dataset\audio\FC02Session3wav_headMic0378.wav,dataset\prompts\FC02Session3prompts0378.txt
dataset\audio\FC02Session3wav_headMic0379.wav,dataset\prompts\FC02Session3prompts0379.txt
dataset\audio\FC02Session3wav_headMic0380.wav,dataset\prompts\FC02Session3prompts0380.txt
dataset\audio\FC02Session3wav_headMic0381.wav,dataset\prompts\FC02Session3prompts0381.txt
dataset\audio\FC02Session3wav_headMic0382.wav,dataset\prompts\FC02Session3prompts0382.txt
dataset\audio\FC02Session3wav_headMic0383.wav,dataset\prompts\FC02Session3prompts0383.txt
dataset\audio\FC02Session3wav_headMic0384.wav,dataset\prompts\FC02Session3prompts0384.txt
dataset\audio\FC02Session3wav_headMic0385.wav,dataset\prompts\FC02Session3prompts0385.txt
dataset\audio\FC02Session3wav_headMic0386.wav,dataset\prompts\FC02Session3prompts0386.txt
dataset\audio\FC02Session3wav_headMic0387.wav,dataset\prompts\FC02Session3prompts0387.txt
dataset\audio\FC02Session3wav_headMic0388.wav,dataset\prompts\FC02Session3prompts0388.txt
dataset\audio\FC02Session3wav_headMic0389.wav,dataset\prompts\FC02Session3prompts0389.txt
dataset\audio\FC02Session3wav_headMic0390.wav,dataset\prompts\FC02Session3prompts0390.txt
dataset\audio\FC02Session3wav_headMic0391.wav,dataset\prompts\FC02Session3prompts0391.txt
dataset\audio\FC02Session3wav_headMic0392.wav,dataset\prompts\FC02Session3prompts0392.txt
dataset\audio\FC02Session3wav_headMic0393.wav,dataset\prompts\FC02Session3prompts0393.txt
dataset\audio\FC02Session3wav_headMic0394.wav,dataset\prompts\FC02Session3prompts0394.txt
dataset\audio\FC02Session3wav_headMic0395.wav,dataset\prompts\FC02Session3prompts0395.txt
dataset\audio\FC02Session3wav_headMic0396.wav,dataset\prompts\FC02Session3prompts0396.txt
dataset\audio\FC02Session3wav_headMic0397.wav,dataset\prompts\FC02Session3prompts0397.txt
dataset\audio\FC02Session3wav_headMic0398.wav,dataset\prompts\FC02Session3prompts0398.txt
dataset\audio\FC02Session3wav_headMic0399.wav,dataset\prompts\FC02Session3prompts0399.txt
dataset\audio\FC02Session3wav_headMic0400.wav,dataset\prompts\FC02Session3prompts0400.txt
dataset\audio\FC02Session3wav_headMic0401.wav,dataset\prompts\FC02Session3prompts0401.txt
dataset\audio\FC02Session3wav_headMic0402.wav,dataset\prompts\FC02Session3prompts0402.txt
dataset\audio\FC02Session3wav_headMic0403.wav,dataset\prompts\FC02Session3prompts0403.txt
dataset\audio\FC02Session3wav_headMic0404.wav,dataset\prompts\FC02Session3prompts0404.txt
dataset\audio\FC02Session3wav_headMic0405.wav,dataset\prompts\FC02Session3prompts0405.txt
dataset\audio\FC02Session3wav_headMic0406.wav,dataset\prompts\FC02Session3prompts0406.txt
dataset\audio\FC02Session3wav_headMic0407.wav,dataset\prompts\FC02Session3prompts0407.txt
dataset\audio\FC02Session3wav_headMic0408.wav,dataset\prompts\FC02Session3prompts0408.txt
dataset\audio\FC02Session3wav_headMic0409.wav,dataset\prompts\FC02Session3prompts0409.txt
dataset\audio\FC02Session3wav_headMic0410.wav,dataset\prompts\FC02Session3prompts0410.txt
dataset\audio\FC02Session3wav_headMic0411.wav,dataset\prompts\FC02Session3prompts0411.txt
dataset\audio\FC02Session3wav_headMic0412.wav,dataset\prompts\FC02Session3prompts0412.txt
dataset\audio\FC02Session3wav_headMic0413.wav,dataset\prompts\FC02Session3prompts0413.txt
dataset\audio\FC02Session3wav_headMic0414.wav,dataset\prompts\FC02Session3prompts0414.txt
dataset\audio\FC02Session3wav_headMic0415.wav,dataset\prompts\FC02Session3prompts0415.txt
dataset\audio\FC02Session3wav_headMic0416.wav,dataset\prompts\FC02Session3prompts0416.txt
dataset\audio\FC02Session3wav_headMic0417.wav,dataset\prompts\FC02Session3prompts0417.txt
dataset\audio\FC02Session3wav_headMic0418.wav,dataset\prompts\FC02Session3prompts0418.txt
dataset\audio\FC02Session3wav_headMic0419.wav,dataset\prompts\FC02Session3prompts0419.txt
dataset\audio\FC02Session3wav_headMic0420.wav,dataset\prompts\FC02Session3prompts0420.txt
dataset\audio\FC02Session3wav_headMic0421.wav,dataset\prompts\FC02Session3prompts0421.txt
dataset\audio\FC02Session3wav_headMic0422.wav,dataset\prompts\FC02Session3prompts0422.txt
dataset\audio\FC02Session3wav_headMic0423.wav,dataset\prompts\FC02Session3prompts0423.txt
dataset\audio\FC02Session3wav_headMic0424.wav,dataset\prompts\FC02Session3prompts0424.txt
dataset\audio\FC02Session3wav_headMic0425.wav,dataset\prompts\FC02Session3prompts0425.txt
dataset\audio\FC02Session3wav_headMic0426.wav,dataset\prompts\FC02Session3prompts0426.txt
dataset\audio\FC02Session3wav_headMic0427.wav,dataset\prompts\FC02Session3prompts0427.txt
dataset\audio\FC02Session3wav_headMic0428.wav,dataset\prompts\FC02Session3prompts0428.txt
dataset\audio\FC02Session3wav_headMic0429.wav,dataset\prompts\FC02Session3prompts0429.txt
dataset\audio\FC02Session3wav_headMic0430.wav,dataset\prompts\FC02Session3prompts0430.txt
dataset\audio\FC02Session3wav_headMic0431.wav,dataset\prompts\FC02Session3prompts0431.txt
dataset\audio\FC02Session3wav_headMic0432.wav,dataset\prompts\FC02Session3prompts0432.txt
dataset\audio\FC02Session3wav_headMic0433.wav,dataset\prompts\FC02Session3prompts0433.txt
dataset\audio\FC02Session3wav_headMic0434.wav,dataset\prompts\FC02Session3prompts0434.txt
dataset\audio\FC02Session3wav_headMic0435.wav,dataset\prompts\FC02Session3prompts0435.txt
dataset\audio\FC02Session3wav_headMic0436.wav,dataset\prompts\FC02Session3prompts0436.txt
dataset\audio\FC02Session3wav_headMic0437.wav,dataset\prompts\FC02Session3prompts0437.txt
dataset\audio\FC02Session3wav_headMic0438.wav,dataset\prompts\FC02Session3prompts0438.txt
dataset\audio\FC02Session3wav_headMic0439.wav,dataset\prompts\FC02Session3prompts0439.txt
dataset\audio\FC02Session3wav_headMic0440.wav,dataset\prompts\FC02Session3prompts0440.txt
dataset\audio\FC02Session3wav_headMic0441.wav,dataset\prompts\FC02Session3prompts0441.txt
dataset\audio\FC02Session3wav_headMic0442.wav,dataset\prompts\FC02Session3prompts0442.txt
dataset\audio\FC02Session3wav_headMic0443.wav,dataset\prompts\FC02Session3prompts0443.txt
dataset\audio\FC02Session3wav_headMic0444.wav,dataset\prompts\FC02Session3prompts0444.txt
dataset\audio\FC02Session3wav_headMic0445.wav,dataset\prompts\FC02Session3prompts0445.txt
dataset\audio\FC02Session3wav_headMic0446.wav,dataset\prompts\FC02Session3prompts0446.txt
dataset\audio\FC02Session3wav_headMic0447.wav,dataset\prompts\FC02Session3prompts0447.txt
dataset\audio\FC02Session3wav_headMic0448.wav,dataset\prompts\FC02Session3prompts0448.txt
dataset\audio\FC02Session3wav_headMic0449.wav,dataset\prompts\FC02Session3prompts0449.txt
dataset\audio\FC02Session3wav_headMic0450.wav,dataset\prompts\FC02Session3prompts0450.txt
dataset\audio\FC02Session3wav_headMic0451.wav,dataset\prompts\FC02Session3prompts0451.txt
dataset\audio\FC02Session3wav_headMic0452.wav,dataset\prompts\FC02Session3prompts0452.txt
dataset\audio\FC02Session3wav_headMic0453.wav,dataset\prompts\FC02Session3prompts0453.txt
dataset\audio\FC02Session3wav_headMic0454.wav,dataset\prompts\FC02Session3prompts0454.txt
dataset\audio\FC02Session3wav_headMic0455.wav,dataset\prompts\FC02Session3prompts0455.txt
dataset\audio\FC02Session3wav_headMic0456.wav,dataset\prompts\FC02Session3prompts0456.txt
dataset\audio\FC02Session3wav_headMic0457.wav,dataset\prompts\FC02Session3prompts0457.txt
dataset\audio\FC02Session3wav_headMic0458.wav,dataset\prompts\FC02Session3prompts0458.txt
dataset\audio\FC02Session3wav_headMic0459.wav,dataset\prompts\FC02Session3prompts0459.txt
dataset\audio\FC02Session3wav_headMic0460.wav,dataset\prompts\FC02Session3prompts0460.txt
dataset\audio\FC02Session3wav_headMic0461.wav,dataset\prompts\FC02Session3prompts0461.txt
dataset\audio\FC02Session3wav_headMic0462.wav,dataset\prompts\FC02Session3prompts0462.txt
dataset\audio\FC02Session3wav_headMic0463.wav,dataset\prompts\FC02Session3prompts0463.txt
dataset\audio\FC02Session3wav_headMic0464.wav,dataset\prompts\FC02Session3prompts0464.txt
dataset\audio\FC02Session3wav_headMic0465.wav,dataset\prompts\FC02Session3prompts0465.txt
dataset\audio\FC02Session3wav_headMic0466.wav,dataset\prompts\FC02Session3prompts0466.txt
dataset\audio\FC02Session3wav_headMic0467.wav,dataset\prompts\FC02Session3prompts0467.txt
dataset\audio\FC02Session3wav_headMic0468.wav,dataset\prompts\FC02Session3prompts0468.txt
dataset\audio\FC02Session3wav_headMic0469.wav,dataset\prompts\FC02Session3prompts0469.txt
dataset\audio\FC02Session3wav_headMic0470.wav,dataset\prompts\FC02Session3prompts0470.txt
dataset\audio\FC02Session3wav_headMic0471.wav,dataset\prompts\FC02Session3prompts0471.txt
dataset\audio\FC02Session3wav_headMic0472.wav,dataset\prompts\FC02Session3prompts0472.txt
dataset\audio\FC02Session3wav_headMic0473.wav,dataset\prompts\FC02Session3prompts0473.txt
dataset\audio\FC02Session3wav_headMic0474.wav,dataset\prompts\FC02Session3prompts0474.txt
dataset\audio\FC02Session3wav_headMic0475.wav,dataset\prompts\FC02Session3prompts0475.txt
dataset\audio\FC02Session3wav_headMic0476.wav,dataset\prompts\FC02Session3prompts0476.txt
dataset\audio\FC02Session3wav_headMic0477.wav,dataset\prompts\FC02Session3prompts0477.txt
dataset\audio\FC02Session3wav_headMic0478.wav,dataset\prompts\FC02Session3prompts0478.txt
dataset\audio\FC02Session3wav_headMic0479.wav,dataset\prompts\FC02Session3prompts0479.txt
dataset\audio\FC02Session3wav_headMic0480.wav,dataset\prompts\FC02Session3prompts0480.txt
dataset\audio\FC02Session3wav_headMic0481.wav,dataset\prompts\FC02Session3prompts0481.txt
dataset\audio\FC02Session3wav_headMic0482.wav,dataset\prompts\FC02Session3prompts0482.txt
dataset\audio\FC02Session3wav_headMic0483.wav,dataset\prompts\FC02Session3prompts0483.txt
dataset\audio\FC02Session3wav_headMic0484.wav,dataset\prompts\FC02Session3prompts0484.txt
dataset\audio\FC02Session3wav_headMic0485.wav,dataset\prompts\FC02Session3prompts0485.txt
dataset\audio\FC02Session3wav_headMic0486.wav,dataset\prompts\FC02Session3prompts0486.txt
dataset\audio\FC02Session3wav_headMic0487.wav,dataset\prompts\FC02Session3prompts0487.txt
dataset\audio\FC02Session3wav_headMic0488.wav,dataset\prompts\FC02Session3prompts0488.txt
dataset\audio\FC02Session3wav_headMic0489.wav,dataset\prompts\FC02Session3prompts0489.txt
dataset\audio\FC02Session3wav_headMic0490.wav,dataset\prompts\FC02Session3prompts0490.txt
dataset\audio\FC02Session3wav_headMic0491.wav,dataset\prompts\FC02Session3prompts0491.txt
dataset\audio\FC02Session3wav_headMic0492.wav,dataset\prompts\FC02Session3prompts0492.txt
dataset\audio\FC02Session3wav_headMic0493.wav,dataset\prompts\FC02Session3prompts0493.txt
dataset\audio\FC02Session3wav_headMic0494.wav,dataset\prompts\FC02Session3prompts0494.txt
dataset\audio\FC02Session3wav_headMic0495.wav,dataset\prompts\FC02Session3prompts0495.txt
dataset\audio\FC02Session3wav_headMic0496.wav,dataset\prompts\FC02Session3prompts0496.txt
dataset\audio\FC02Session3wav_headMic0497.wav,dataset\prompts\FC02Session3prompts0497.txt
dataset\audio\FC02Session3wav_headMic0498.wav,dataset\prompts\FC02Session3prompts0498.txt
dataset\audio\FC02Session3wav_headMic0499.wav,dataset\prompts\FC02Session3prompts0499.txt
dataset\audio\FC02Session3wav_headMic0500.wav,dataset\prompts\FC02Session3prompts0500.txt
dataset\audio\FC02Session3wav_headMic0501.wav,dataset\prompts\FC02Session3prompts0501.txt
dataset\audio\FC02Session3wav_headMic0502.wav,dataset\prompts\FC02Session3prompts0502.txt
dataset\audio\FC02Session3wav_headMic0503.wav,dataset\prompts\FC02Session3prompts0503.txt
dataset\audio\FC02Session3wav_headMic0504.wav,dataset\prompts\FC02Session3prompts0504.txt
dataset\audio\FC02Session3wav_headMic0505.wav,dataset\prompts\FC02Session3prompts0505.txt
dataset\audio\FC02Session3wav_headMic0506.wav,dataset\prompts\FC02Session3prompts0506.txt
dataset\audio\FC02Session3wav_headMic0507.wav,dataset\prompts\FC02Session3prompts0507.txt
dataset\audio\FC02Session3wav_headMic0508.wav,dataset\prompts\FC02Session3prompts0508.txt
dataset\audio\FC02Session3wav_headMic0509.wav,dataset\prompts\FC02Session3prompts0509.txt
dataset\audio\FC02Session3wav_headMic0510.wav,dataset\prompts\FC02Session3prompts0510.txt
dataset\audio\FC02Session3wav_headMic0511.wav,dataset\prompts\FC02Session3prompts0511.txt
dataset\audio\FC02Session3wav_headMic0512.wav,dataset\prompts\FC02Session3prompts0512.txt
dataset\audio\FC02Session3wav_headMic0513.wav,dataset\prompts\FC02Session3prompts0513.txt
dataset\audio\FC02Session3wav_headMic0514.wav,dataset\prompts\FC02Session3prompts0514.txt
dataset\audio\FC02Session3wav_headMic0515.wav,dataset\prompts\FC02Session3prompts0515.txt
dataset\audio\FC02Session3wav_headMic0516.wav,dataset\prompts\FC02Session3prompts0516.txt
dataset\audio\FC02Session3wav_headMic0517.wav,dataset\prompts\FC02Session3prompts0517.txt
dataset\audio\FC02Session3wav_headMic0518.wav,dataset\prompts\FC02Session3prompts0518.txt
dataset\audio\FC02Session3wav_headMic0519.wav,dataset\prompts\FC02Session3prompts0519.txt
dataset\audio\FC02Session3wav_headMic0520.wav,dataset\prompts\FC02Session3prompts0520.txt
dataset\audio\FC02Session3wav_headMic0521.wav,dataset\prompts\FC02Session3prompts0521.txt
dataset\audio\FC02Session3wav_headMic0522.wav,dataset\prompts\FC02Session3prompts0522.txt
dataset\audio\FC02Session3wav_headMic0523.wav,dataset\prompts\FC02Session3prompts0523.txt
dataset\audio\FC02Session3wav_headMic0524.wav,dataset\prompts\FC02Session3prompts0524.txt
dataset\audio\FC02Session3wav_headMic0525.wav,dataset\prompts\FC02Session3prompts0525.txt
dataset\audio\FC02Session3wav_headMic0526.wav,dataset\prompts\FC02Session3prompts0526.txt
