audio path,prompt,length
dataset\audio\F03Session1wav_headMic0168.wav,Their house is grey and white.,30
dataset\audio\F04Session2wav_headMic0127.wav,There is a treehouse up above.,30
dataset\audio\MC03Session1wav_headMic0136.wav,Will Robin wear a yellow lily?,30
dataset\audio\FC02Session3wav_headMic0601.wav,We talked about the situation.,30
dataset\audio\FC02Session3wav_headMic0199.wav,A good attitude is unbeatable.,30
dataset\audio\MC01Session3wav_headMic0070.wav,It requires no big investment.,30
dataset\audio\MC02Session1wav_headMic0356.wav,We rode horseback to the farm.,30
dataset\audio\FC03Session3wav_headMic0086.wav,We talked about the situation.,30
dataset\audio\M04Session2wav_headMic0236.wav,Their house is grey and white.,30
dataset\audio\M01Session2wav_headMic0187.wav,There is a treehouse up above.,30
dataset\audio\FC02Session3wav_headMic0349.wav,The fish swam across the pond.,30
dataset\audio\M05Session2wav_headMic0279.wav,A good attitude is unbeatable.,30
dataset\audio\MC03Session1wav_headMic0141.wav,Their house is grey and white.,30
dataset\audio\MC04Session1wav_headMic0083.wav,usually minus several buttons;,30
dataset\audio\M02Session2wav_headMic0209.wav,We rode horseback to the farm.,30
dataset\audio\M05Session1wav_headMic0061.wav,usually minus several buttons;,30
dataset\audio\M03Session2wav_headMic0057.wav,usually minus several buttons;,30
dataset\audio\FC02Session3wav_headMic0662.wav,Handle it any way you have to.,30
dataset\audio\FC03Session3wav_headMic0182.wav,It was a huge part of my life.,30
dataset\audio\M05Session2wav_headMic0135.wav,Will Robin wear a yellow lily?,30
dataset\audio\FC02Session3wav_headMic0036.wav,We rode horseback to the farm.,30
dataset\audio\MC01Session1wav_headMic0205.wav,Will Robin wear a yellow lily?,30
dataset\audio\F03Session3wav_headMic0032.wav,The fish swam across the pond.,30
dataset\audio\MC02Session1wav_headMic0228.wav,Will Robin wear a yellow lily?,30
dataset\audio\MC03Session1wav_headMic0390.wav,A good attitude is unbeatable.,30
dataset\audio\MC02Session1wav_headMic0304.wav,There is a treehouse up above.,30
dataset\audio\MC04Session1wav_headMic0602.wav,Suddenly my reflexes are gone.,30
dataset\audio\M03Session2wav_headMic0381.wav,We rode horseback to the farm.,30
dataset\audio\FC02Session3wav_headMic0761.wav,It was a huge part of my life.,30
dataset\audio\MC04Session1wav_headMic0228.wav,Will Robin wear a yellow lily?,30
dataset\audio\MC03Session1wav_headMic0064.wav,usually minus several buttons;,30
dataset\audio\M01Session2wav_headMic0115.wav,Will Robin wear a yellow lily?,30
dataset\audio\FC03Session1wav_headMic0053.wav,usually minus several buttons;,30
dataset\audio\MC04Session1wav_headMic0600.wav,The fish swam across the pond.,30
dataset\audio\MC01Session2wav_headMic0261.wav,Suddenly my reflexes are gone.,30
dataset\audio\F03Session2wav_headMic0017.wav,Will Robin wear a yellow lily?,30
dataset\audio\M01Session2wav_headMic0103.wav,Their house is grey and white.,30
dataset\audio\FC03Session1wav_headMic0352.wav,There is a treehouse up above.,30
dataset\audio\MC03Session1wav_headMic0576.wav,The fish swam across the pond.,30
dataset\audio\M05Session2wav_headMic0197.wav,There is a treehouse up above.,30
dataset\audio\F03Session3wav_headMic0107.wav,A good attitude is unbeatable.,30
dataset\audio\MC01Session3wav_headMic0412.wav,She was not seriously injured.,30
dataset\audio\M05Session2wav_headMic0082.wav,Their house is grey and white.,30
dataset\audio\MC01Session2wav_headMic0236.wav,The fish swam across the pond.,30
dataset\audio\MC04Session1wav_headMic0246.wav,Their house is grey and white.,30
dataset\audio\MC02Session1wav_headMic0071.wav,usually minus several buttons;,30
dataset\audio\MC04Session1wav_headMic0603.wav,Suddenly my reflexes are gone.,30
dataset\audio\FC03Session2wav_headMic0271.wav,It requires no big investment.,30
dataset\audio\M01Session1wav_headMic0066.wav,usually minus several buttons;,30
dataset\audio\FC02Session3wav_headMic0458.wav,It requires no big investment.,30
dataset\audio\MC03Session2wav_headMic0051.wav,Suddenly my reflexes are gone.,30
dataset\audio\MC01Session3wav_headMic0286.wav,We knew we weren't doing well.,30
dataset\audio\MC04Session1wav_headMic0281.wav,There is a treehouse up above.,30
dataset\audio\FC03Session3wav_headMic0201.wav,We knew we weren't doing well.,30
dataset\audio\MC01Session3wav_headMic0301.wav,It was a huge part of my life.,30
dataset\audio\F03Session2wav_headMic0072.wav,We rode horseback to the farm.,30
dataset\audio\FC02Session3wav_headMic0692.wav,We knew we weren't doing well.,30
dataset\audio\FC03Session2wav_headMic0113.wav,A good attitude is unbeatable.,30
dataset\audio\MC01Session2wav_headMic0014.wav,We rode horseback to the farm.,30
dataset\audio\FC01Session1wav_headMic0150.wav,Their house is grey and white.,30
dataset\audio\M03Session2wav_headMic0249.wav,Their house is grey and white.,30
dataset\audio\F04Session2wav_headMic0004.wav,Will Robin wear a yellow lily?,30
dataset\audio\MC01Session2wav_headMic0018.wav,There is a treehouse up above.,30
dataset\audio\M04Session2wav_headMic0052.wav,usually minus several buttons;,30
dataset\audio\M03Session2wav_headMic0377.wav,There is a treehouse up above.,30
dataset\audio\FC03Session1wav_headMic0300.wav,We rode horseback to the farm.,30
dataset\audio\MC01Session1wav_headMic0144.wav,Their house is grey and white.,30
dataset\audio\FC02Session3wav_headMic0017.wav,There is a treehouse up above.,30
dataset\audio\MC02Session1wav_headMic0221.wav,Their house is grey and white.,30
dataset\audio\MC04Session1wav_headMic0441.wav,A good attitude is unbeatable.,30
dataset\audio\MC04Session1wav_headMic0498.wav,Only lawyers love millionaires.,31
dataset\audio\F04Session2wav_headMic0042.wav,I feel I can play this weekend.,31
dataset\audio\M02Session1wav_headMic0173.wav,I feel I can play this weekend.,31
dataset\audio\FC02Session3wav_headMic0391.wav,I think I'm full of this stuff.,31
dataset\audio\MC04Session1wav_headMic0129.wav,I feel I can play this weekend.,31
dataset\audio\MC03Session1wav_headMic0273.wav,He wrapped the package hastily.,31
dataset\audio\FC02Session3wav_headMic0911.wav,We saw three deer and a badger.,31
dataset\audio\MC01Session1wav_headMic0129.wav,I feel I can play this weekend.,31
dataset\audio\FC02Session3wav_headMic0892.wav,She is not sure what to expect.,31
dataset\audio\FC02Session3wav_headMic0615.wav,Look for pockets of black sand.,31
dataset\audio\M02Session2wav_headMic0222.wav,"When all else fails, use force.",31
dataset\audio\M02Session2wav_headMic0212.wav,The job provides many benefits.,31
dataset\audio\MC03Session1wav_headMic0190.wav,I feel I can play this weekend.,31
dataset\audio\M05Session2wav_headMic0349.wav,Please open the window quickly.,31
dataset\audio\M02Session2wav_headMic0104.wav,Students watched as he got out.,31
dataset\audio\MC03Session1wav_headMic0302.wav,"When all else fails, use force.",31
dataset\audio\FC02Session3wav_headMic0606.wav,Have no fear if you come alone.,31
dataset\audio\M05Session2wav_headMic0385.wav,Only lawyers love millionaires.,31
dataset\audio\FC02Session3wav_headMic0439.wav,I don't think it's a good idea.,31
dataset\audio\F03Session3wav_headMic0188.wav,He wrapped the package hastily.,31
dataset\audio\M02Session2wav_headMic0139.wav,He wrapped the package hastily.,31
dataset\audio\MC02Session2wav_headMic0010.wav,Please open the window quickly.,31
dataset\audio\M02Session2wav_headMic0213.wav,The job provides many benefits.,31
dataset\audio\F03Session1wav_headMic0157.wav,I feel I can play this weekend.,31
dataset\audio\MC03Session1wav_headMic0262.wav,Students watched as he got out.,31
dataset\audio\M03Session2wav_headMic0329.wav,He wrapped the package hastily.,31
dataset\audio\MC04Session1wav_headMic0263.wav,"When all else fails, use force.",31
dataset\audio\FC02Session3wav_headMic0126.wav,Students watched as he got out.,31
dataset\audio\M01Session2wav_headMic0240.wav,The job provides many benefits.,31
dataset\audio\FC03Session3wav_headMic0128.wav,Look for pockets of black sand.,31
dataset\audio\M03Session2wav_headMic0388.wav,Only lawyers love millionaires.,31
dataset\audio\M04Session2wav_headMic0217.wav,I feel I can play this weekend.,31
dataset\audio\F04Session2wav_headMic0149.wav,Students watched as he got out.,31
dataset\audio\FC03Session1wav_headMic0341.wav,The job provides many benefits.,31
dataset\audio\MC01Session2wav_headMic0193.wav,I think I'm full of this stuff.,31
dataset\audio\MC04Session1wav_headMic0377.wav,He wrapped the package hastily.,31
dataset\audio\MC02Session1wav_headMic0384.wav,Students watched as he got out.,31
dataset\audio\F04Session2wav_headMic0159.wav,The job provides many benefits.,31
dataset\audio\F03Session2wav_headMic0142.wav,Students watched as he got out.,31
dataset\audio\MC02Session1wav_headMic0235.wav,I feel I can play this weekend.,31
dataset\audio\F04Session2wav_headMic0200.wav,He wrapped the package hastily.,31
dataset\audio\MC03Session2wav_headMic0016.wav,I think I'm full of this stuff.,31
dataset\audio\M01Session2wav_headMic0061.wav,I feel I can play this weekend.,31
dataset\audio\M01Session2wav_headMic0254.wav,Students watched as he got out.,31
dataset\audio\MC01Session2wav_headMic0052.wav,Students watched as he got out.,31
dataset\audio\M03Session2wav_headMic0320.wav,Students watched as he got out.,31
dataset\audio\MC01Session3wav_headMic0036.wav,I don't think it's a good idea.,31
dataset\audio\FC02Session3wav_headMic0182.wav,Only lawyers love millionaires.,31
dataset\audio\M05Session2wav_headMic0151.wav,He wrapped the package hastily.,31
dataset\audio\FC03Session2wav_headMic0140.wav,I think I'm full of this stuff.,31
dataset\audio\MC03Session1wav_headMic0498.wav,Only lawyers love millionaires.,31
dataset\audio\FC02Session3wav_headMic0200.wav,Please open the window quickly.,31
dataset\audio\M01Session2wav_headMic0206.wav,"When all else fails, use force.",31
dataset\audio\M03Session2wav_headMic0339.wav,The job provides many benefits.,31
dataset\audio\MC04Session1wav_headMic0357.wav,Students watched as he got out.,31
dataset\audio\FC03Session1wav_headMic0286.wav,Students watched as he got out.,31
dataset\audio\MC01Session2wav_headMic0111.wav,Please open the window quickly.,31
dataset\audio\MC03Session1wav_headMic0458.wav,Please open the window quickly.,31
dataset\audio\FC03Session1wav_headMic0297.wav,He wrapped the package hastily.,31
dataset\audio\FC03Session1wav_headMic0301.wav,"When all else fails, use force.",31
dataset\audio\M05Session2wav_headMic0008.wav,I feel I can play this weekend.,31
dataset\audio\MC01Session2wav_headMic0096.wav,Only lawyers love millionaires.,31
dataset\audio\M03Session2wav_headMic0379.wav,"When all else fails, use force.",31
dataset\audio\FC03Session1wav_headMic0296.wav,He wrapped the package hastily.,31
dataset\audio\M01Session2wav_headMic0271.wav,He wrapped the package hastily.,31
dataset\audio\MC03Session2wav_headMic0116.wav,I don't think it's a good idea.,31
dataset\audio\M05Session2wav_headMic0204.wav,The job provides many benefits.,31
dataset\audio\MC03Session1wav_headMic0361.wav,The job provides many benefits.,31
dataset\audio\M03Session2wav_headMic0211.wav,I feel I can play this weekend.,31
dataset\audio\FC02Session3wav_headMic0048.wav,"When all else fails, use force.",31
dataset\audio\MC04Session1wav_headMic0564.wav,I think I'm full of this stuff.,31
dataset\audio\MC02Session1wav_headMic0339.wav,"When all else fails, use force.",31
dataset\audio\FC03Session2wav_headMic0367.wav,I don't think it's a good idea.,31
dataset\audio\FC03Session2wav_headMic0015.wav,Please open the window quickly.,31
dataset\audio\MC01Session3wav_headMic0129.wav,Look for pockets of black sand.,31
dataset\audio\MC04Session1wav_headMic0468.wav,Please open the window quickly.,31
dataset\audio\MC01Session3wav_headMic0128.wav,Look for pockets of black sand.,31
dataset\audio\FC03Session3wav_headMic0034.wav,Have no fear if you come alone.,31
dataset\audio\MC02Session1wav_headMic0378.wav,He wrapped the package hastily.,31
dataset\audio\MC04Session1wav_headMic0333.wav,The job provides many benefits.,31
dataset\audio\MC02Session1wav_headMic0379.wav,The job provides many benefits.,31
dataset\audio\MC04Session1wav_headMic0262.wav,"When all else fails, use force.",31
dataset\audio\FC02Session3wav_headMic0051.wav,The job provides many benefits.,31
dataset\audio\MC01Session1wav_headMic0290.wav,He wrapped the package hastily.,31
dataset\audio\FC02Session3wav_headMic0967.wav,It's beauty that surrounds you.,31
dataset\audio\F04Session2wav_headMic0247.wav,Please open the window quickly.,31
dataset\audio\MC01Session3wav_headMic0163.wav,Have no fear if you come alone.,31
dataset\audio\M05Session2wav_headMic0216.wav,"When all else fails, use force.",31
dataset\audio\FC03Session2wav_headMic0065.wav,Only lawyers love millionaires.,31
dataset\audio\MC01Session1wav_headMic0329.wav,"When all else fails, use force.",31
dataset\audio\M05Session2wav_headMic0238.wav,Students watched as he got out.,31
dataset\audio\FC03Session1wav_headMic0261.wav,I feel I can play this weekend.,31
dataset\audio\FC02Session3wav_headMic0065.wav,He wrapped the package hastily.,31
dataset\audio\MC01Session1wav_headMic0318.wav,The job provides many benefits.,31
dataset\audio\F04Session2wav_headMic0101.wav,"When all else fails, use force.",31
dataset\audio\MC01Session2wav_headMic0313.wav,Don't do Charlie's dirty dishes.,32
dataset\audio\FC02Session3wav_headMic0723.wav,The snow blew into large drifts.,32
dataset\audio\MC04Session1wav_headMic0586.wav,I called two different painters.,32
dataset\audio\MC01Session3wav_headMic0359.wav,Young and old also got together.,32
dataset\audio\MC01Session3wav_headMic0283.wav,Both cars were slightly damaged.,32
dataset\audio\MC01Session3wav_headMic0332.wav,Porcupines resemble sea urchins.,32
dataset\audio\MC01Session2wav_headMic0172.wav,I've kept it with me ever since.,32
dataset\audio\FC03Session3wav_headMic0194.wav,The snow blew into large drifts.,32
dataset\audio\MC03Session1wav_headMic0593.wav,Biblical scholars argue history.,32
dataset\audio\MC03Session1wav_headMic0597.wav,Don't do Charlie's dirty dishes.,32
dataset\audio\FC02Session3wav_headMic0733.wav,Both cars were slightly damaged.,32
dataset\audio\MC01Session3wav_headMic0329.wav,Spring Street is straight ahead.,32
dataset\audio\FC02Session3wav_headMic0698.wav,Spring Street is straight ahead.,32
dataset\audio\FC01Session1wav_headMic0140.wav,We gathered shells on the beach.,32
dataset\audio\M01Session2wav_headMic0033.wav,We gathered shells on the beach.,32
dataset\audio\M05Session2wav_headMic0057.wav,We gathered shells on the beach.,32
dataset\audio\MC01Session2wav_headMic0275.wav,Biblical scholars argue history.,32
dataset\audio\MC01Session2wav_headMic0219.wav,I called two different painters.,32
dataset\audio\FC02Session3wav_headMic0763.wav,Porcupines resemble sea urchins.,32
dataset\audio\MC03Session1wav_headMic0558.wav,I've kept it with me ever since.,32
dataset\audio\MC04Session1wav_headMic0510.wav,Biblical scholars argue history.,32
dataset\audio\F03Session1wav_headMic0190.wav,We gathered shells on the beach.,32
dataset\audio\FC02Session3wav_headMic0253.wav,I called two different painters.,32
dataset\audio\FC02Session3wav_headMic0298.wav,Biblical scholars argue history.,32
dataset\audio\MC03Session1wav_headMic0149.wav,We gathered shells on the beach.,32
dataset\audio\MC04Session1wav_headMic0543.wav,I've kept it with me ever since.,32
dataset\audio\FC03Session1wav_headMic0237.wav,We gathered shells on the beach.,32
dataset\audio\MC04Session1wav_headMic0638.wav,Don't do Charlie's dirty dishes.,32
dataset\audio\F03Session3wav_headMic0101.wav,I've kept it with me ever since.,32
dataset\audio\F04Session2wav_headMic0041.wav,We gathered shells on the beach.,32
dataset\audio\FC02Session3wav_headMic0340.wav,I've kept it with me ever since.,32
dataset\audio\MC04Session1wav_headMic0544.wav,I've kept it with me ever since.,32
dataset\audio\FC03Session2wav_headMic0248.wav,I've kept it with me ever since.,32
dataset\audio\FC03Session2wav_headMic0243.wav,I called two different painters.,32
dataset\audio\M02Session1wav_headMic0184.wav,We gathered shells on the beach.,32
dataset\audio\MC03Session2wav_headMic0006.wav,I called two different painters.,32
dataset\audio\MC04Session1wav_headMic0155.wav,We gathered shells on the beach.,32
dataset\audio\FC02Session3wav_headMic0923.wav,Most weeds grow strong and fast.,32
dataset\audio\M04Session2wav_headMic0174.wav,We gathered shells on the beach.,32
dataset\audio\M03Session2wav_headMic0198.wav,We gathered shells on the beach.,32
dataset\audio\FC03Session2wav_headMic0187.wav,Don't do Charlie's dirty dishes.,32
dataset\audio\MC01Session3wav_headMic0233.wav,The snow blew into large drifts.,32
dataset\audio\MC01Session1wav_headMic0228.wav,We gathered shells on the beach.,32
dataset\audio\MC02Session1wav_headMic0145.wav,We gathered shells on the beach.,32
dataset\audio\FC02Session3wav_headMic0855.wav,Young and old also got together.,32
dataset\audio\FC03Session2wav_headMic0212.wav,Biblical scholars argue history.,32
dataset\audio\FC02Session3wav_headMic0264.wav,Don't do Charlie's dirty dishes.,32
dataset\audio\M02Session2wav_headMic0237.wav,Being able to dance can help too.,33
dataset\audio\MC01Session3wav_headMic0092.wav,Begin by trying to speak up more.,33
dataset\audio\FC03Session2wav_headMic0055.wav,Some hotels are available nearby.,33
dataset\audio\FC02Session3wav_headMic0557.wav,Begin by trying to speak up more.,33
dataset\audio\MC01Session3wav_headMic0093.wav,Begin by trying to speak up more.,33
dataset\audio\FC03Session2wav_headMic0323.wav,Mom strongly dislikes appetizers.,33
dataset\audio\FC03Session2wav_headMic0051.wav,Being able to dance can help too.,33
dataset\audio\MC01Session3wav_headMic0095.wav,We shelled clams for the chowder.,33
dataset\audio\MC04Session1wav_headMic0344.wav,The box contained three sweaters.,33
dataset\audio\MC03Session2wav_headMic0065.wav,Mom strongly dislikes appetizers.,33
dataset\audio\FC02Session3wav_headMic0512.wav,Mom strongly dislikes appetizers.,33
dataset\audio\F04Session2wav_headMic0193.wav,A roll of wire lay near the wall.,33
dataset\audio\MC01Session3wav_headMic0275.wav,The store serves meals every day.,33
dataset\audio\MC01Session2wav_headMic0357.wav,Mom strongly dislikes appetizers.,33
dataset\audio\MC03Session2wav_headMic0072.wav,Her dark hair is combed casually.,33
dataset\audio\F04Session2wav_headMic0019.wav,I scrubbed the floors thoroughly.,33
dataset\audio\MC01Session2wav_headMic0350.wav,Her dark hair is combed casually.,33
dataset\audio\FC03Session3wav_headMic0157.wav,The store serves meals every day.,33
dataset\audio\FC03Session3wav_headMic0068.wav,We shelled clams for the chowder.,33
dataset\audio\F03Session1wav_headMic0144.wav,I scrubbed the floors thoroughly.,33
dataset\audio\M04Session2wav_headMic0206.wav,I scrubbed the floors thoroughly.,33
dataset\audio\FC02Session3wav_headMic0699.wav,The store serves meals every day.,33
dataset\audio\FC02Session3wav_headMic0622.wav,We shelled clams for the chowder.,33
dataset\audio\MC04Session1wav_headMic0381.wav,A roll of wire lay near the wall.,33
dataset\audio\MC04Session1wav_headMic0503.wav,Being able to dance can help too.,33
dataset\audio\F03Session2wav_headMic0099.wav,A roll of wire lay near the wall.,33
dataset\audio\FC03Session2wav_headMic0312.wav,Her dark hair is combed casually.,33
dataset\audio\FC03Session3wav_headMic0133.wav,Begin by trying to speak up more.,33
dataset\audio\F03Session2wav_headMic0092.wav,The box contained three sweaters.,33
dataset\audio\MC01Session1wav_headMic0139.wav,I scrubbed the floors thoroughly.,33
dataset\audio\FC02Session3wav_headMic0032.wav,A roll of wire lay near the wall.,33
dataset\audio\F03Session3wav_headMic0063.wav,Some hotels are available nearby.,33
dataset\audio\MC03Session1wav_headMic0427.wav,Some hotels are available nearby.,33
dataset\audio\M02Session2wav_headMic0096.wav,A roll of wire lay near the wall.,33
dataset\audio\FC03Session1wav_headMic0267.wav,I scrubbed the floors thoroughly.,33
dataset\audio\M05Session2wav_headMic0246.wav,A roll of wire lay near the wall.,33
dataset\audio\FC02Session3wav_headMic0453.wav,Her dark hair is combed casually.,33
dataset\audio\M03Session2wav_headMic0182.wav,I scrubbed the floors thoroughly.,33
dataset\audio\M05Session2wav_headMic0152.wav,The box contained three sweaters.,33
dataset\audio\FC02Session3wav_headMic0194.wav,Being able to dance can help too.,33
dataset\audio\MC03Session1wav_headMic0474.wav,Being able to dance can help too.,33
dataset\audio\F04Session2wav_headMic0140.wav,The box contained three sweaters.,33
dataset\audio\MC02Session1wav_headMic0266.wav,A roll of wire lay near the wall.,33
dataset\audio\M02Session1wav_headMic0236.wav,I scrubbed the floors thoroughly.,33
dataset\audio\MC02Session2wav_headMic0043.wav,Some hotels are available nearby.,33
dataset\audio\M01Session2wav_headMic0227.wav,The box contained three sweaters.,33
dataset\audio\MC03Session1wav_headMic0277.wav,The box contained three sweaters.,33
dataset\audio\M03Session2wav_headMic0318.wav,The box contained three sweaters.,33
dataset\audio\M01Session2wav_headMic0255.wav,A roll of wire lay near the wall.,33
dataset\audio\MC01Session2wav_headMic0077.wav,Being able to dance can help too.,33
dataset\audio\MC02Session1wav_headMic0227.wav,I scrubbed the floors thoroughly.,33
dataset\audio\MC01Session2wav_headMic0075.wav,Some hotels are available nearby.,33
dataset\audio\MC02Session2wav_headMic0051.wav,Being able to dance can help too.,33
dataset\audio\M03Session2wav_headMic0286.wav,A roll of wire lay near the wall.,33
dataset\audio\MC01Session1wav_headMic0300.wav,A roll of wire lay near the wall.,33
dataset\audio\FC03Session1wav_headMic0270.wav,The box contained three sweaters.,33
dataset\audio\MC03Session1wav_headMic0246.wav,I scrubbed the floors thoroughly.,33
dataset\audio\M05Session2wav_headMic0276.wav,Some hotels are available nearby.,33
dataset\audio\F03Session3wav_headMic0197.wav,Being able to dance can help too.,33
dataset\audio\FC02Session3wav_headMic0040.wav,The box contained three sweaters.,33
dataset\audio\MC03Session2wav_headMic0202.wav,Begin by trying to speak up more.,33
dataset\audio\MC02Session1wav_headMic0370.wav,The box contained three sweaters.,33
dataset\audio\MC04Session1wav_headMic0405.wav,Some hotels are available nearby.,33
dataset\audio\MC03Session1wav_headMic0308.wav,A roll of wire lay near the wall.,33
dataset\audio\M05Session2wav_headMic0367.wav,Being able to dance can help too.,33
dataset\audio\M02Session2wav_headMic0131.wav,The box contained three sweaters.,33
dataset\audio\F03Session3wav_headMic0038.wav,Some hotels are available nearby.,33
dataset\audio\FC02Session3wav_headMic0245.wav,Some hotels are available nearby.,33
dataset\audio\M01Session2wav_headMic0095.wav,I scrubbed the floors thoroughly.,33
dataset\audio\FC02Session3wav_headMic0822.wav,It's illegal to postdate a check.,33
dataset\audio\FC03Session1wav_headMic0322.wav,A roll of wire lay near the wall.,33
dataset\audio\MC03Session1wav_headMic0309.wav,A roll of wire lay near the wall.,33
dataset\audio\MC04Session1wav_headMic0229.wav,I scrubbed the floors thoroughly.,33
dataset\audio\M05Session2wav_headMic0088.wav,I scrubbed the floors thoroughly.,33
dataset\audio\MC01Session1wav_headMic0270.wav,The box contained three sweaters.,33
dataset\audio\F04Session2wav_headMic0248.wav,He is definitely a notch above us.,34
dataset\audio\FC02Session3wav_headMic0247.wav,"Although always alone, we survive.",34
dataset\audio\MC03Session1wav_headMic0339.wav,The dolphins swam around our boat.,34
dataset\audio\MC03Session1wav_headMic0341.wav,Swing your arm as high as you can.,34
dataset\audio\M03Session2wav_headMic0199.wav,Mother sews yellow gingham aprons.,34
dataset\audio\M03Session2wav_headMic0301.wav,The dolphins swam around our boat.,34
dataset\audio\M05Session2wav_headMic0192.wav,Swing your arm as high as you can.,34
dataset\audio\F01Session1wav_headMic0027.wav,"but he always answers, Banana oil!",34
dataset\audio\F04Session2wav_headMic0088.wav,Swing your arm as high as you can.,34
dataset\audio\M04Session2wav_headMic0255.wav,You're used to being on the field.,34
dataset\audio\M05Session2wav_headMic0239.wav,The dolphins swam around our boat.,34
dataset\audio\F03Session1wav_headMic0121.wav,"but he always answers, Banana oil!",34
dataset\audio\F01Session1wav_headMic0028.wav,"but he always answers, Banana oil!",34
dataset\audio\F04Session2wav_headMic0243.wav,"Although always alone, we survive.",34
dataset\audio\MC03Session1wav_headMic0454.wav,"Although always alone, we survive.",34
dataset\audio\M04Session2wav_headMic0216.wav,Mother sews yellow gingham aprons.,34
dataset\audio\M05Session2wav_headMic0382.wav,"Although always alone, we survive.",34
dataset\audio\M05Session2wav_headMic0043.wav,Mother sews yellow gingham aprons.,34
dataset\audio\M05Session2wav_headMic0042.wav,Mother sews yellow gingham aprons.,34
dataset\audio\FC02Session3wav_headMic0076.wav,Swing your arm as high as you can.,34
dataset\audio\MC03Session1wav_headMic0211.wav,Where were you while we were away?,34
dataset\audio\M03Session2wav_headMic0415.wav,"Although always alone, we survive.",34
dataset\audio\M05Session2wav_headMic0387.wav,He is definitely a notch above us.,34
dataset\audio\FC02Session3wav_headMic0088.wav,The dolphins swam around our boat.,34
dataset\audio\M05Session2wav_headMic0028.wav,You're used to being on the field.,34
dataset\audio\FC02Session3wav_headMic0515.wav,I had no desire to change my ways.,34
dataset\audio\M05Session2wav_headMic0002.wav,Where were you while we were away?,34
dataset\audio\FC01Session1wav_headMic0130.wav,Mother sews yellow gingham aprons.,34
dataset\audio\MC03Session1wav_headMic0428.wav,He is definitely a notch above us.,34
dataset\audio\FC02Session3wav_headMic0159.wav,Nobody really expects to evacuate.,34
dataset\audio\MC03Session2wav_headMic0061.wav,It was very popular with our fans.,34
dataset\audio\F04Session2wav_headMic0128.wav,The dolphins swam around our boat.,34
dataset\audio\M03Session2wav_headMic0155.wav,You're used to being on the field.,34
dataset\audio\MC03Session1wav_headMic0198.wav,Mother sews yellow gingham aprons.,34
dataset\audio\FC02Session3wav_headMic0201.wav,He is definitely a notch above us.,34
dataset\audio\M03Session2wav_headMic0328.wav,Swing your arm as high as you can.,34
dataset\audio\FC02Session3wav_headMic0499.wav,It was very popular with our fans.,34
dataset\audio\M04Session2wav_headMic0190.wav,Where were you while we were away?,34
dataset\audio\M05Session2wav_headMic0314.wav,Nobody really expects to evacuate.,34
dataset\audio\M05Session2wav_headMic0313.wav,Nobody really expects to evacuate.,34
dataset\audio\MC03Session1wav_headMic0431.wav,Nobody really expects to evacuate.,34
dataset\audio\FC02Session3wav_headMic0420.wav,Elderly people are often excluded.,34
dataset\audio\MC03Session2wav_headMic0055.wav,Elderly people are often excluded.,34
dataset\audio\M03Session2wav_headMic0192.wav,Where were you while we were away?,34
dataset\audio\M02Session1wav_headMic0226.wav,Mother sews yellow gingham aprons.,34
dataset\audio\MC02Session1wav_headMic0158.wav,You're used to being on the field.,34
dataset\audio\FC03Session1wav_headMic0142.wav,Mother sews yellow gingham aprons.,34
dataset\audio\FC03Session1wav_headMic0143.wav,Mother sews yellow gingham aprons.,34
dataset\audio\MC03Session1wav_headMic0176.wav,You're used to being on the field.,34
dataset\audio\FC03Session1wav_headMic0187.wav,Where were you while we were away?,34
dataset\audio\FC03Session1wav_headMic0198.wav,You're used to being on the field.,34
dataset\audio\MC01Session2wav_headMic0122.wav,"Although always alone, we survive.",34
dataset\audio\M02Session2wav_headMic0090.wav,Where were you while we were away?,34
dataset\audio\M01Session2wav_headMic0174.wav,The dolphins swam around our boat.,34
dataset\audio\MC01Session2wav_headMic0151.wav,He is definitely a notch above us.,34
dataset\audio\MC01Session2wav_headMic0156.wav,Nobody really expects to evacuate.,34
dataset\audio\MC01Session2wav_headMic0157.wav,Nobody really expects to evacuate.,34
dataset\audio\MC04Session1wav_headMic0415.wav,"Although always alone, we survive.",34
dataset\audio\M01Session2wav_headMic0145.wav,You're used to being on the field.,34
dataset\audio\M02Session2wav_headMic0117.wav,The dolphins swam around our boat.,34
dataset\audio\FC03Session1wav_headMic0290.wav,The dolphins swam around our boat.,34
dataset\audio\MC01Session1wav_headMic0146.wav,You're used to being on the field.,34
dataset\audio\FC03Session1wav_headMic0321.wav,Swing your arm as high as you can.,34
dataset\audio\M01Session2wav_headMic0088.wav,Mother sews yellow gingham aprons.,34
dataset\audio\MC04Session1wav_headMic0125.wav,You're used to being on the field.,34
dataset\audio\MC02Session1wav_headMic0209.wav,Where were you while we were away?,34
dataset\audio\MC02Session2wav_headMic0059.wav,Nobody really expects to evacuate.,34
dataset\audio\M02Session1wav_headMic0210.wav,You're used to being on the field.,34
dataset\audio\MC02Session1wav_headMic0234.wav,Nothing is offensive as innocense.,34
dataset\audio\FC02Session3wav_headMic0944.wav,They either walked or were driven.,34
dataset\audio\MC01Session1wav_headMic0288.wav,The dolphins swam around our boat.,34
dataset\audio\F03Session1wav_headMic0175.wav,You're used to being on the field.,34
dataset\audio\MC01Session1wav_headMic0292.wav,Swing your arm as high as you can.,34
dataset\audio\MC02Session1wav_headMic0320.wav,The dolphins swam around our boat.,34
