audio path,prompt
dataset\audio\FC02Session3wav_headMic0148.wav,ship
dataset\audio\FC02Session3wav_headMic0149.wav,nest
dataset\audio\FC02Session3wav_headMic0150.wav,knot
dataset\audio\FC02Session3wav_headMic0151.wav,flicker
dataset\audio\FC02Session3wav_headMic0152.wav,bread
dataset\audio\FC02Session3wav_headMic0154.wav,You want him to do well.
dataset\audio\FC02Session3wav_headMic0155.wav,sicker
dataset\audio\FC02Session3wav_headMic0156.wav,People who value themselves are life's winners.
dataset\audio\FC02Session3wav_headMic0157.wav,sin
dataset\audio\FC02Session3wav_headMic0158.wav,meat
dataset\audio\FC02Session3wav_headMic0159.wav,Nobody really expects to evacuate.
dataset\audio\FC02Session3wav_headMic0160.wav,slicker
dataset\audio\FC02Session3wav_headMic0161.wav,tango
dataset\audio\FC02Session3wav_headMic0162.wav,He really crucified him; he nailed it for a yard loss.
dataset\audio\FC02Session3wav_headMic0163.wav,sheet
dataset\audio\FC02Session3wav_headMic0164.wav,tread
dataset\audio\FC02Session3wav_headMic0165.wav,shell
dataset\audio\FC02Session3wav_headMic0166.wav,xray
dataset\audio\FC02Session3wav_headMic0167.wav,The pair of shoes was new.
dataset\audio\FC02Session3wav_headMic0168.wav,dice
dataset\audio\FC02Session3wav_headMic0169.wav,The hotel owner shrugged.
dataset\audio\FC02Session3wav_headMic0170.wav,Help Greg to pick a peck of potatoes.
dataset\audio\FC02Session3wav_headMic0171.wav,glitter
dataset\audio\FC02Session3wav_headMic0172.wav,fork
dataset\audio\FC02Session3wav_headMic0173.wav,said
dataset\audio\FC02Session3wav_headMic0174.wav,one
dataset\audio\FC02Session3wav_headMic0175.wav,sip
dataset\audio\FC02Session3wav_headMic0176.wav,bitter
dataset\audio\FC02Session3wav_headMic0177.wav,witch
dataset\audio\FC02Session3wav_headMic0178.wav,ham
dataset\audio\FC02Session3wav_headMic0179.wav,I'm willing to experiment for the first time.
dataset\audio\FC02Session3wav_headMic0180.wav,Get a calico cat to keep.
dataset\audio\FC02Session3wav_headMic0181.wav,He took me out one day.
dataset\audio\FC02Session3wav_headMic0182.wav,Only lawyers love millionaires.
dataset\audio\FC02Session3wav_headMic0183.wav,spit
dataset\audio\FC02Session3wav_headMic0184.wav,spit
dataset\audio\FC02Session3wav_headMic0185.wav,litter
dataset\audio\FC02Session3wav_headMic0186.wav,sink
dataset\audio\FC02Session3wav_headMic0187.wav,red
dataset\audio\FC02Session3wav_headMic0188.wav,nut
dataset\audio\FC02Session3wav_headMic0189.wav,two
dataset\audio\FC02Session3wav_headMic0190.wav,Ned
dataset\audio\FC02Session3wav_headMic0191.wav,dread
dataset\audio\FC02Session3wav_headMic0192.wav,sit
dataset\audio\FC02Session3wav_headMic0193.wav,left
dataset\audio\FC02Session3wav_headMic0194.wav,Being able to dance can help too.
dataset\audio\FC02Session3wav_headMic0195.wav,zip
dataset\audio\FC02Session3wav_headMic0196.wav,hand
dataset\audio\FC02Session3wav_headMic0197.wav,yes
dataset\audio\FC02Session3wav_headMic0198.wav,rest
dataset\audio\FC02Session3wav_headMic0199.wav,A good attitude is unbeatable.
dataset\audio\FC02Session3wav_headMic0200.wav,Please open the window quickly.
dataset\audio\FC02Session3wav_headMic0201.wav,He is definitely a notch above us.
dataset\audio\FC02Session3wav_headMic0202.wav,Those musicians harmonize marvelously.
dataset\audio\FC02Session3wav_headMic0203.wav,rock
dataset\audio\FC02Session3wav_headMic0204.wav,in
dataset\audio\FC02Session3wav_headMic0205.wav,down
dataset\audio\FC02Session3wav_headMic0206.wav,Most young rise early every morning.
dataset\audio\FC02Session3wav_headMic0207.wav,sin
dataset\audio\FC02Session3wav_headMic0208.wav,wicker
dataset\audio\FC02Session3wav_headMic0209.wav,sing
dataset\audio\FC02Session3wav_headMic0210.wav,hand
dataset\audio\FC02Session3wav_headMic0211.wav,We bought a brown chair.
dataset\audio\FC02Session3wav_headMic0212.wav,rock
dataset\audio\FC02Session3wav_headMic0213.wav,quicker
dataset\audio\FC02Session3wav_headMic0214.wav,four
dataset\audio\FC02Session3wav_headMic0215.wav,shoot
dataset\audio\FC02Session3wav_headMic0216.wav,best
dataset\audio\FC02Session3wav_headMic0217.wav,sierra
dataset\audio\FC02Session3wav_headMic0218.wav,We have an excellent team.
dataset\audio\FC02Session3wav_headMic0219.wav,uniform
dataset\audio\FC02Session3wav_headMic0220.wav,him
dataset\audio\FC02Session3wav_headMic0221.wav,romeo
dataset\audio\FC02Session3wav_headMic0222.wav,Travel is about the only leisure we have.
dataset\audio\FC02Session3wav_headMic0223.wav,sell
dataset\audio\FC02Session3wav_headMic0224.wav,a
dataset\audio\FC02Session3wav_headMic0227.wav,nod
dataset\audio\FC02Session3wav_headMic0228.wav,"This is a good place, though small."
dataset\audio\FC02Session3wav_headMic0229.wav,nice
dataset\audio\FC02Session3wav_headMic0230.wav,liquor
dataset\audio\FC02Session3wav_headMic0231.wav,Each one volunteered to jump first.
dataset\audio\FC02Session3wav_headMic0232.wav,knot
dataset\audio\FC02Session3wav_headMic0233.wav,up
dataset\audio\FC02Session3wav_headMic0234.wav,Beg that guard for one gallon of gas.
dataset\audio\FC02Session3wav_headMic0235.wav,chip
dataset\audio\FC02Session3wav_headMic0236.wav,lock
dataset\audio\FC02Session3wav_headMic0237.wav,no
dataset\audio\FC02Session3wav_headMic0238.wav,yankee
dataset\audio\FC02Session3wav_headMic0239.wav,You can ride stagecoach.
dataset\audio\FC02Session3wav_headMic0240.wav,Did dad do academic bidding?
dataset\audio\FC02Session3wav_headMic0241.wav,victor
dataset\audio\FC02Session3wav_headMic0242.wav,sand
dataset\audio\FC02Session3wav_headMic0243.wav,tin
dataset\audio\FC02Session3wav_headMic0244.wav,dress
dataset\audio\FC02Session3wav_headMic0245.wav,Some hotels are available nearby.
dataset\audio\FC02Session3wav_headMic0246.wav,neat
dataset\audio\FC02Session3wav_headMic0247.wav,"Although always alone, we survive."
dataset\audio\FC02Session3wav_headMic0248.wav,dead
dataset\audio\FC02Session3wav_headMic0249.wav,walk
dataset\audio\FC02Session3wav_headMic0250.wav,whisky
dataset\audio\FC02Session3wav_headMic0251.wav,right
dataset\audio\FC02Session3wav_headMic0252.wav,wit
dataset\audio\FC02Session3wav_headMic0253.wav,I called two different painters.
dataset\audio\FC02Session3wav_headMic0254.wav,air
dataset\audio\FC02Session3wav_headMic0255.wav,cheer
dataset\audio\FC02Session3wav_headMic0256.wav,Stimulating discussions keep students' attention.
dataset\audio\FC02Session3wav_headMic0257.wav,Help celebrate your brother's success.
dataset\audio\FC02Session3wav_headMic0258.wav,lake
dataset\audio\FC02Session3wav_headMic0259.wav,thread
dataset\audio\FC02Session3wav_headMic0260.wav,dread
dataset\audio\FC02Session3wav_headMic0261.wav,forward
dataset\audio\FC02Session3wav_headMic0262.wav,fed
dataset\audio\FC02Session3wav_headMic0263.wav,sheet
dataset\audio\FC02Session3wav_headMic0264.wav,Don't do Charlie's dirty dishes.
dataset\audio\FC02Session3wav_headMic0265.wav,back
dataset\audio\FC02Session3wav_headMic0266.wav,sew
dataset\audio\FC02Session3wav_headMic0267.wav,no
dataset\audio\FC02Session3wav_headMic0268.wav,sort
dataset\audio\FC02Session3wav_headMic0269.wav,boot
dataset\audio\FC02Session3wav_headMic0270.wav,select
dataset\audio\FC02Session3wav_headMic0271.wav,sin
dataset\audio\FC02Session3wav_headMic0272.wav,catch
dataset\audio\FC02Session3wav_headMic0273.wav,goose
dataset\audio\FC02Session3wav_headMic0274.wav,He played basketball there while working toward a law degree.
dataset\audio\FC02Session3wav_headMic0275.wav,Coconut cream pie makes a nice dessert.
dataset\audio\FC02Session3wav_headMic0276.wav,ride
dataset\audio\FC02Session3wav_headMic0277.wav,meat
dataset\audio\FC02Session3wav_headMic0278.wav,We selected places where families will be welcome.
dataset\audio\FC02Session3wav_headMic0279.wav,cakes
dataset\audio\FC02Session3wav_headMic0280.wav,bill
dataset\audio\FC02Session3wav_headMic0281.wav,Only the most accomplished artists obtain popularity.
dataset\audio\FC02Session3wav_headMic0282.wav,short
dataset\audio\FC02Session3wav_headMic0283.wav,in
dataset\audio\FC02Session3wav_headMic0284.wav,said
dataset\audio\FC02Session3wav_headMic0285.wav,menu
dataset\audio\FC02Session3wav_headMic0286.wav,chair
dataset\audio\FC02Session3wav_headMic0287.wav,goat
dataset\audio\FC02Session3wav_headMic0288.wav,shoot
dataset\audio\FC02Session3wav_headMic0289.wav,shin
dataset\audio\FC02Session3wav_headMic0290.wav,bill
dataset\audio\FC02Session3wav_headMic0291.wav,leak
dataset\audio\FC02Session3wav_headMic0292.wav,much
dataset\audio\FC02Session3wav_headMic0293.wav,coat
dataset\audio\FC02Session3wav_headMic0294.wav,Some prefer the traditional steel kind.
dataset\audio\FC02Session3wav_headMic0295.wav,cork
dataset\audio\FC02Session3wav_headMic0296.wav,old
dataset\audio\FC02Session3wav_headMic0297.wav,weep
dataset\audio\FC02Session3wav_headMic0298.wav,Biblical scholars argue history.
dataset\audio\FC02Session3wav_headMic0299.wav,he
dataset\audio\FC02Session3wav_headMic0300.wav,rid
dataset\audio\FC02Session3wav_headMic0301.wav,quart
dataset\audio\FC02Session3wav_headMic0302.wav,shot
dataset\audio\FC02Session3wav_headMic0303.wav,There is definitely some ligament damage in his knee.
dataset\audio\FC02Session3wav_headMic0304.wav,sheep
dataset\audio\FC02Session3wav_headMic0305.wav,ship
dataset\audio\FC02Session3wav_headMic0306.wav,snort
dataset\audio\FC02Session3wav_headMic0307.wav,pork
dataset\audio\FC02Session3wav_headMic0308.wav,In fact our whole defensive unit did a good job.
dataset\audio\FC02Session3wav_headMic0309.wav,sketch
dataset\audio\FC02Session3wav_headMic0310.wav,Who knows what you'll discover about yourself.
dataset\audio\FC02Session3wav_headMic0311.wav,blend
dataset\audio\FC02Session3wav_headMic0312.wav,shed
dataset\audio\FC02Session3wav_headMic0313.wav,The four brothers looked identical.
dataset\audio\FC02Session3wav_headMic0314.wav,side
dataset\audio\FC02Session3wav_headMic0315.wav,rake
dataset\audio\FC02Session3wav_headMic0316.wav,dead
dataset\audio\FC02Session3wav_headMic0318.wav,sew
dataset\audio\FC02Session3wav_headMic0319.wav,Critical equipment needs proper maintenance.
dataset\audio\FC02Session3wav_headMic0320.wav,court
dataset\audio\FC02Session3wav_headMic0321.wav,see
dataset\audio\FC02Session3wav_headMic0322.wav,shop
dataset\audio\FC02Session3wav_headMic0323.wav,heat
dataset\audio\FC02Session3wav_headMic0324.wav,eat
dataset\audio\FC02Session3wav_headMic0325.wav,Suddenly my reflexes are gone.
dataset\audio\FC02Session3wav_headMic0326.wav,gill
dataset\audio\FC02Session3wav_headMic0327.wav,show
dataset\audio\FC02Session3wav_headMic0328.wav,read
dataset\audio\FC02Session3wav_headMic0329.wav,The results were very disappointing.
dataset\audio\FC02Session3wav_headMic0330.wav,tug
dataset\audio\FC02Session3wav_headMic0331.wav,cash
dataset\audio\FC02Session3wav_headMic0332.wav,stretch
dataset\audio\FC02Session3wav_headMic0333.wav,steak
dataset\audio\FC02Session3wav_headMic0334.wav,ray
dataset\audio\FC02Session3wav_headMic0335.wav,fort
dataset\audio\FC02Session3wav_headMic0336.wav,lee
dataset\audio\FC02Session3wav_headMic0337.wav,beat
dataset\audio\FC02Session3wav_headMic0338.wav,hold
dataset\audio\FC02Session3wav_headMic0339.wav,bread
dataset\audio\FC02Session3wav_headMic0340.wav,I've kept it with me ever since.
dataset\audio\FC02Session3wav_headMic0341.wav,That's what life is really all about.
dataset\audio\FC02Session3wav_headMic0342.wav,rake
dataset\audio\FC02Session3wav_headMic0343.wav,There was only one decision to be made.
dataset\audio\FC02Session3wav_headMic0344.wav,red
dataset\audio\FC02Session3wav_headMic0345.wav,fork
dataset\audio\FC02Session3wav_headMic0346.wav,yes
dataset\audio\FC02Session3wav_headMic0347.wav,shred
dataset\audio\FC02Session3wav_headMic0348.wav,sight
dataset\audio\FC02Session3wav_headMic0349.wav,The fish swam across the pond.
dataset\audio\FC02Session3wav_headMic0351.wav,She doesn't like to have it hanging around.
dataset\audio\FC02Session3wav_headMic0352.wav,tort
dataset\audio\FC02Session3wav_headMic0353.wav,meats
dataset\audio\FC02Session3wav_headMic0354.wav,Life is short and precious.
dataset\audio\FC02Session3wav_headMic0355.wav,eat
dataset\audio\FC02Session3wav_headMic0356.wav,sport
dataset\audio\FC02Session3wav_headMic0357.wav,Young people participate in athletic activities.
dataset\audio\FC02Session3wav_headMic0358.wav,Trespassers can be prosecuted and fined.
dataset\audio\FC02Session3wav_headMic0359.wav,Etiquette mandates compliance with existing regulations.
dataset\audio\FC02Session3wav_headMic0360.wav,sew
dataset\audio\FC02Session3wav_headMic0361.wav,A quick touchdown resulted.
dataset\audio\FC02Session3wav_headMic0362.wav,The little girls cut lacy valentines.
dataset\audio\FC02Session3wav_headMic0363.wav,gas
dataset\audio\FC02Session3wav_headMic0364.wav,dug
dataset\audio\FC02Session3wav_headMic0366.wav,geese
dataset\audio\FC02Session3wav_headMic0367.wav,mill
dataset\audio\FC02Session3wav_headMic0368.wav,bill
dataset\audio\FC02Session3wav_headMic0369.wav,Barb's gold bracelet was a graduation present.
dataset\audio\FC02Session3wav_headMic0370.wav,reap
dataset\audio\FC02Session3wav_headMic0371.wav,write
dataset\audio\FC02Session3wav_headMic0372.wav,dill
dataset\audio\FC02Session3wav_headMic0373.wav,four
dataset\audio\FC02Session3wav_headMic0374.wav,chop
dataset\audio\FC02Session3wav_headMic0375.wav,lend
dataset\audio\FC02Session3wav_headMic0376.wav,three
dataset\audio\FC02Session3wav_headMic0377.wav,foe
dataset\audio\FC02Session3wav_headMic0378.wav,rise
dataset\audio\FC02Session3wav_headMic0379.wav,He asked you for a loan.
dataset\audio\FC02Session3wav_headMic0380.wav,Do they make any money?
dataset\audio\FC02Session3wav_headMic0381.wav,toe
dataset\audio\FC02Session3wav_headMic0382.wav,geese
dataset\audio\FC02Session3wav_headMic0384.wav,threat
dataset\audio\FC02Session3wav_headMic0385.wav,port
dataset\audio\FC02Session3wav_headMic0386.wav,blend
dataset\audio\FC02Session3wav_headMic0387.wav,lip
dataset\audio\FC02Session3wav_headMic0388.wav,I scream to warm up my voice.
dataset\audio\FC02Session3wav_headMic0389.wav,rip
dataset\audio\FC02Session3wav_headMic0390.wav,wise
dataset\audio\FC02Session3wav_headMic0391.wav,I think I'm full of this stuff.
dataset\audio\FC02Session3wav_headMic0392.wav,nice
dataset\audio\FC02Session3wav_headMic0393.wav,bend
dataset\audio\FC02Session3wav_headMic0394.wav,muck
dataset\audio\FC02Session3wav_headMic0395.wav,night
dataset\audio\FC02Session3wav_headMic0396.wav,snake
dataset\audio\FC02Session3wav_headMic0397.wav,cake
dataset\audio\FC02Session3wav_headMic0398.wav,I haven't seen that friend for years.
dataset\audio\FC02Session3wav_headMic0400.wav,seven
dataset\audio\FC02Session3wav_headMic0401.wav,eight
dataset\audio\FC02Session3wav_headMic0402.wav,five
dataset\audio\FC02Session3wav_headMic0403.wav,bumper
dataset\audio\FC02Session3wav_headMic0404.wav,geese
dataset\audio\FC02Session3wav_headMic0405.wav,nine
dataset\audio\FC02Session3wav_headMic0406.wav,six
dataset\audio\FC02Session3wav_headMic0407.wav,Basketball can be an entertaining sport.
dataset\audio\FC02Session3wav_headMic0408.wav,neat
dataset\audio\FC02Session3wav_headMic0409.wav,coat
dataset\audio\FC02Session3wav_headMic0410.wav,ash
dataset\audio\FC02Session3wav_headMic0411.wav,fit
dataset\audio\FC02Session3wav_headMic0412.wav,sheer
dataset\audio\FC02Session3wav_headMic0413.wav,At twilight on the twelfth day we'll have Chablis.
dataset\audio\FC02Session3wav_headMic0414.wav,hash
dataset\audio\FC02Session3wav_headMic0415.wav,Worse luck was still to come.
dataset\audio\FC02Session3wav_headMic0416.wav,The golfing fathers ruled in his favor.
dataset\audio\FC02Session3wav_headMic0417.wav,reap
dataset\audio\FC02Session3wav_headMic0418.wav,hail
dataset\audio\FC02Session3wav_headMic0419.wav,code
dataset\audio\FC02Session3wav_headMic0420.wav,Elderly people are often excluded.
dataset\audio\FC02Session3wav_headMic0421.wav,beam
dataset\audio\FC02Session3wav_headMic0422.wav,Yet he remains the fiercest of competitors.
dataset\audio\FC02Session3wav_headMic0423.wav,knife
dataset\audio\FC02Session3wav_headMic0424.wav,three
dataset\audio\FC02Session3wav_headMic0425.wav,four
dataset\audio\FC02Session3wav_headMic0426.wav,nine
dataset\audio\FC02Session3wav_headMic0427.wav,me
dataset\audio\FC02Session3wav_headMic0428.wav,Pete
dataset\audio\FC02Session3wav_headMic0429.wav,Addition and subtraction are learned skills.
dataset\audio\FC02Session3wav_headMic0430.wav,Gold can be found anywhere.
dataset\audio\FC02Session3wav_headMic0431.wav,gash
dataset\audio\FC02Session3wav_headMic0432.wav,I was pleased with the way things went.
dataset\audio\FC02Session3wav_headMic0433.wav,eight
dataset\audio\FC02Session3wav_headMic0434.wav,she
dataset\audio\FC02Session3wav_headMic0435.wav,I loved every minute of it.
dataset\audio\FC02Session3wav_headMic0436.wav,it
dataset\audio\FC02Session3wav_headMic0437.wav,reap
dataset\audio\FC02Session3wav_headMic0439.wav,I don't think it's a good idea.
dataset\audio\FC02Session3wav_headMic0440.wav,fender
dataset\audio\FC02Session3wav_headMic0441.wav,woe
dataset\audio\FC02Session3wav_headMic0442.wav,five
dataset\audio\FC02Session3wav_headMic0443.wav,member
dataset\audio\FC02Session3wav_headMic0444.wav,beast
dataset\audio\FC02Session3wav_headMic0445.wav,She suggested we all have dinner together.
dataset\audio\FC02Session3wav_headMic0446.wav,zero
dataset\audio\FC02Session3wav_headMic0447.wav,sticks
dataset\audio\FC02Session3wav_headMic0448.wav,"So, if anybody solicits by phone, make sure you mail the dough to the above."
dataset\audio\FC02Session3wav_headMic0449.wav,beat
dataset\audio\FC02Session3wav_headMic0450.wav,Ambidextrous pickpockets accomplish more.
dataset\audio\FC02Session3wav_headMic0451.wav,guess
dataset\audio\FC02Session3wav_headMic0452.wav,They will take a wedding trip later.
dataset\audio\FC02Session3wav_headMic0453.wav,Her dark hair is combed casually.
dataset\audio\FC02Session3wav_headMic0454.wav,seam
dataset\audio\FC02Session3wav_headMic0455.wav,feed
dataset\audio\FC02Session3wav_headMic0456.wav,beep
dataset\audio\FC02Session3wav_headMic0457.wav,I also can be quite vocal.
dataset\audio\FC02Session3wav_headMic0458.wav,It requires no big investment.
dataset\audio\FC02Session3wav_headMic0459.wav,cash
dataset\audio\FC02Session3wav_headMic0460.wav,six
dataset\audio\FC02Session3wav_headMic0461.wav,That pickpocket was caught red-handed.
dataset\audio\FC02Session3wav_headMic0462.wav,That pickpocket was caught red-handed.
dataset\audio\FC02Session3wav_headMic0463.wav,We have a big house.
dataset\audio\FC02Session3wav_headMic0464.wav,mock
dataset\audio\FC02Session3wav_headMic0465.wav,dock
dataset\audio\FC02Session3wav_headMic0466.wav,nice
dataset\audio\FC02Session3wav_headMic0467.wav,sea
dataset\audio\FC02Session3wav_headMic0468.wav,Grandmother outgrew her upbringing in petticoats.
dataset\audio\FC02Session3wav_headMic0469.wav,The sun died at night.
dataset\audio\FC02Session3wav_headMic0470.wav,ember
dataset\audio\FC02Session3wav_headMic0471.wav,cheer
dataset\audio\FC02Session3wav_headMic0472.wav,seat
dataset\audio\FC02Session3wav_headMic0473.wav,Those people are much quicker than I am.
dataset\audio\FC02Session3wav_headMic0474.wav,food
dataset\audio\FC02Session3wav_headMic0475.wav,reef
dataset\audio\FC02Session3wav_headMic0476.wav,see
dataset\audio\FC02Session3wav_headMic0477.wav,A fire in straw makes a quick blaze.
dataset\audio\FC02Session3wav_headMic0478.wav,sender
dataset\audio\FC02Session3wav_headMic0479.wav,spit
dataset\audio\FC02Session3wav_headMic0480.wav,fork
dataset\audio\FC02Session3wav_headMic0481.wav,Her classical performance gained critical acclaim.
dataset\audio\FC02Session3wav_headMic0483.wav,seven
dataset\audio\FC02Session3wav_headMic0484.wav,Her position covers a number of daily tasks common to any social director.
dataset\audio\FC02Session3wav_headMic0485.wav,The marriage went well from the start.
dataset\audio\FC02Session3wav_headMic0486.wav,"I tell you, it was wonderful."
dataset\audio\FC02Session3wav_headMic0487.wav,zero
dataset\audio\FC02Session3wav_headMic0488.wav,to
dataset\audio\FC02Session3wav_headMic0489.wav,renter
dataset\audio\FC02Session3wav_headMic0490.wav,meat
dataset\audio\FC02Session3wav_headMic0491.wav,row
dataset\audio\FC02Session3wav_headMic0492.wav,six
dataset\audio\FC02Session3wav_headMic0493.wav,lender
dataset\audio\FC02Session3wav_headMic0494.wav,ape
dataset\audio\FC02Session3wav_headMic0495.wav,We just didn't look good.
dataset\audio\FC02Session3wav_headMic0496.wav,forks
dataset\audio\FC02Session3wav_headMic0497.wav,tender
dataset\audio\FC02Session3wav_headMic0498.wav,tea
dataset\audio\FC02Session3wav_headMic0499.wav,It was very popular with our fans.
dataset\audio\FC02Session3wav_headMic0500.wav,timber
dataset\audio\FC02Session3wav_headMic0501.wav,leap
dataset\audio\FC02Session3wav_headMic0502.wav,feet
dataset\audio\FC02Session3wav_headMic0503.wav,Catastrophic economic cutbacks neglect the poor.
dataset\audio\FC02Session3wav_headMic0504.wav,two
dataset\audio\FC02Session3wav_headMic0505.wav,tail
dataset\audio\FC02Session3wav_headMic0506.wav,bender
dataset\audio\FC02Session3wav_headMic0507.wav,one
dataset\audio\FC02Session3wav_headMic0509.wav,ache
dataset\audio\FC02Session3wav_headMic0510.wav,meat
dataset\audio\FC02Session3wav_headMic0511.wav,center
dataset\audio\FC02Session3wav_headMic0512.wav,Mom strongly dislikes appetizers.
dataset\audio\FC02Session3wav_headMic0513.wav,beef
dataset\audio\FC02Session3wav_headMic0514.wav,temper
dataset\audio\FC02Session3wav_headMic0515.wav,I had no desire to change my ways.
dataset\audio\FC02Session3wav_headMic0516.wav,are
dataset\audio\FC02Session3wav_headMic0517.wav,lip
dataset\audio\FC02Session3wav_headMic0518.wav,lip
dataset\audio\FC02Session3wav_headMic0519.wav,wax
dataset\audio\FC02Session3wav_headMic0520.wav,pet
dataset\audio\FC02Session3wav_headMic0521.wav,dock
dataset\audio\FC02Session3wav_headMic0522.wav,sheet
dataset\audio\FC02Session3wav_headMic0523.wav,hat
dataset\audio\FC02Session3wav_headMic0524.wav,aid
dataset\audio\FC02Session3wav_headMic0525.wav,knock
dataset\audio\FC02Session3wav_headMic0526.wav,seat
dataset\audio\FC02Session3wav_headMic0527.wav,lies
dataset\audio\FC02Session3wav_headMic0528.wav,cheese
dataset\audio\FC02Session3wav_headMic0529.wav,hatch
dataset\audio\FC02Session3wav_headMic0530.wav,The lack of heat compounded the tenant's grievances.
dataset\audio\FC02Session3wav_headMic0531.wav,bunch
dataset\audio\FC02Session3wav_headMic0532.wav,Any contributions will be greatly appreciated.
dataset\audio\FC02Session3wav_headMic0533.wav,ache
dataset\audio\FC02Session3wav_headMic0534.wav,ease
dataset\audio\FC02Session3wav_headMic0535.wav,leaks
dataset\audio\FC02Session3wav_headMic0537.wav,add
dataset\audio\FC02Session3wav_headMic0538.wav,is
dataset\audio\FC02Session3wav_headMic0539.wav,rake
dataset\audio\FC02Session3wav_headMic0540.wav,Chocolate and roses never fail as a romantic gift.
dataset\audio\FC02Session3wav_headMic0541.wav,leap
dataset\audio\FC02Session3wav_headMic0542.wav,rise
dataset\audio\FC02Session3wav_headMic0543.wav,ease
dataset\audio\FC02Session3wav_headMic0544.wav,The legislature met to judge the state of public education.
dataset\audio\FC02Session3wav_headMic0545.wav,The legislature met to judge the state of public education.
dataset\audio\FC02Session3wav_headMic0546.wav,full
dataset\audio\FC02Session3wav_headMic0547.wav,rip
dataset\audio\FC02Session3wav_headMic0548.wav,We are the largest of the four states.
dataset\audio\FC02Session3wav_headMic0549.wav,peas
dataset\audio\FC02Session3wav_headMic0550.wav,feet
dataset\audio\FC02Session3wav_headMic0551.wav,bun
dataset\audio\FC02Session3wav_headMic0552.wav,bunch
dataset\audio\FC02Session3wav_headMic0553.wav,pit
dataset\audio\FC02Session3wav_headMic0555.wav,punch
dataset\audio\FC02Session3wav_headMic0556.wav,ail
dataset\audio\FC02Session3wav_headMic0557.wav,Begin by trying to speak up more.
dataset\audio\FC02Session3wav_headMic0558.wav,blend
dataset\audio\FC02Session3wav_headMic0559.wav,tall
dataset\audio\FC02Session3wav_headMic0560.wav,Range was a vital detail.
dataset\audio\FC02Session3wav_headMic0561.wav,pill
dataset\audio\FC02Session3wav_headMic0562.wav,sell
dataset\audio\FC02Session3wav_headMic0563.wav,ate
dataset\audio\FC02Session3wav_headMic0564.wav,racks
dataset\audio\FC02Session3wav_headMic0565.wav,The structures housing the apartments are of masonry and frame construction.
dataset\audio\FC02Session3wav_headMic0566.wav,leak
dataset\audio\FC02Session3wav_headMic0567.wav,aches
dataset\audio\FC02Session3wav_headMic0568.wav,lit
dataset\audio\FC02Session3wav_headMic0569.wav,sticks
dataset\audio\FC02Session3wav_headMic0570.wav,The singer's finger had a splinter.
dataset\audio\FC02Session3wav_headMic0571.wav,hail
dataset\audio\FC02Session3wav_headMic0572.wav,steak
dataset\audio\FC02Session3wav_headMic0573.wav,Now I'm living exactly as I choose.
dataset\audio\FC02Session3wav_headMic0574.wav,add
dataset\audio\FC02Session3wav_headMic0575.wav,had
dataset\audio\FC02Session3wav_headMic0576.wav,heat
dataset\audio\FC02Session3wav_headMic0577.wav,cash
dataset\audio\FC02Session3wav_headMic0578.wav,duck
dataset\audio\FC02Session3wav_headMic0579.wav,bunch
dataset\audio\FC02Session3wav_headMic0581.wav,tile
dataset\audio\FC02Session3wav_headMic0582.wav,arm
dataset\audio\FC02Session3wav_headMic0583.wav,fat
dataset\audio\FC02Session3wav_headMic0584.wav,harm
dataset\audio\FC02Session3wav_headMic0585.wav,fat
dataset\audio\FC02Session3wav_headMic0586.wav,I wanted to be an actress.
dataset\audio\FC02Session3wav_headMic0587.wav,at
dataset\audio\FC02Session3wav_headMic0588.wav,wax
dataset\audio\FC02Session3wav_headMic0589.wav,fell
dataset\audio\FC02Session3wav_headMic0590.wav,Academic aptitude guarantees your diploma.
dataset\audio\FC02Session3wav_headMic0591.wav,charm
dataset\audio\FC02Session3wav_headMic0592.wav,It was a great meeting.
dataset\audio\FC02Session3wav_headMic0593.wav,He has played very well.
dataset\audio\FC02Session3wav_headMic0594.wav,Be prepared for odd behavior from friends.
dataset\audio\FC02Session3wav_headMic0595.wav,mile
dataset\audio\FC02Session3wav_headMic0596.wav,feet
dataset\audio\FC02Session3wav_headMic0597.wav,rakes
dataset\audio\FC02Session3wav_headMic0599.wav,pat
dataset\audio\FC02Session3wav_headMic0600.wav,take
dataset\audio\FC02Session3wav_headMic0601.wav,We talked about the situation.
dataset\audio\FC02Session3wav_headMic0602.wav,row
dataset\audio\FC02Session3wav_headMic0603.wav,ache
dataset\audio\FC02Session3wav_headMic0604.wav,ease
dataset\audio\FC02Session3wav_headMic0605.wav,The job also covers a number of other items.
dataset\audio\FC02Session3wav_headMic0606.wav,Have no fear if you come alone.
dataset\audio\FC02Session3wav_headMic0607.wav,We all sat down and relaxed.
dataset\audio\FC02Session3wav_headMic0608.wav,fill
dataset\audio\FC02Session3wav_headMic0609.wav,hall
dataset\audio\FC02Session3wav_headMic0610.wav,air
dataset\audio\FC02Session3wav_headMic0611.wav,pit
dataset\audio\FC02Session3wav_headMic0612.wav,sake
dataset\audio\FC02Session3wav_headMic0613.wav,hat
dataset\audio\FC02Session3wav_headMic0614.wav,I didn't know where they were coming from.
dataset\audio\FC02Session3wav_headMic0615.wav,Look for pockets of black sand.
dataset\audio\FC02Session3wav_headMic0616.wav,fill
dataset\audio\FC02Session3wav_headMic0617.wav,see
dataset\audio\FC02Session3wav_headMic0618.wav,He'll sell them by the box.
